cnpj_basico;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte_empresa;ente_federativo_responsavel
41276622;AGROPECUARIA ISA LTDA;2062;49;8144885.36;03;
41278312;AGROPECUARIA STABILLE & MOURA LTDA;2062;49;11468152.0;03;
41280730;A. S. DOS SANTOS LTDA;2062;49;2800000.0;03;
41286450;LEPAUS IMPORTADORA LTDA;2062;49;5000000.0;03;
41299018;C3R3 LOCACAO E ADMINISTRACAO DE IMOVEIS SPE LTDA;2062;05;13510000.0;03;
41301200;JUSTO & EVALDT ADMINISTRACAO DE IMOVEIS LTDA;2062;49;12439250.0;03;
41302434;PROWAL EMPREENDIMENTOS E PARTICIPACOES LTDA.;2062;05;7338020.0;03;
41306582;AMERICA INVESTIMENTOS IMOBILIARIOS LTDA;2062;49;4380000.0;03;
41315376;FAST CONSTRUTORA E INCORPORADORA LTDA;2062;49;2890000.0;03;
41316130;SPICY FISH RESTAURANTE LTDA;2062;49;5000000.0;03;
41316990;D7 GESTAO DE PESSOAS LTDA;2062;49;5400000.0;03;
41317189;AGROPECUARIA 3 AMIGOS LTDA;2062;49;5175000.0;03;
41322007;GLOBAL PHOENIX CONSTRUCOES LTDA;2062;49;3500000.0;03;
41329786;DA COSTA ADMINISTRADORA DE BENS LTDA;2062;49;10700000.0;03;
41330726;ULTRA CONSTRUCOES LTDA;2062;49;20000000.0;03;
41335421;CANAL COMERCIO INTERNACIONAL LTDA;2062;49;6500000.0;03;
41336018;PREDESIGN CONSTRUCAO E PRE FABRICADOS GOIANINHA LTDA;2062;49;5000000.0;03;
41336823;VIVAN PARTICIPACOES E ADMINISTRADORA DE BENS LTDA;2062;49;3817277.0;03;
41339878;ABCARVALHAES EMPREENDIMENTOS E PARTICIPACOES LTDA.;2062;49;3551000.0;03;
41340432;MARANTA SOLUCOES LTDA;2062;49;7000000.0;03;
41347598;AGROPECUARIA VOLPI LTDA;2062;49;4590000.0;03;
41349650;LAGE ROOFTOP EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;2062;49;2926830.0;03;
41350614;D&G PERFUR R&R LTDA;2062;49;5000000.0;03;
41351853;FEG ADMINISTRACAO E PARTICIPACAO LTDA;2062;49;8333000.0;03;
41352943;L2M ALIMENTOS LTDA;2062;49;4000000.0;03;
41355407;JLP EMPREENDIMENTOS RURAIS LTDA;2062;49;3605000.0;03;
41358055;NEW EDUCATION - ENSINO BILINGUE LTDA.;2062;49;2920000.0;03;
