cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;pais;data_inicio_atividade;cnae_fiscal_principal;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd_1;telefone_1;ddd_2;telefone_2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial
50573007;0001;70;1;;02;20230506;00;;105;2023-05-06;4120400;4399101,4213800,7820500;2A RUA;FREI FELIPE;S/N;;IRMÃ DULCE;45848000;BA;3279;73;82012498;0000;00000000;;;ASERVICOSADM@GMAIL.COM;;
50598966;0001;40;1;ZN 6;02;20230509;00;;;2023-05-09;4110700;6810201;RUA;JOAO HIPOLITO DE AZEVEDO;18;;CENTRO;44245000;BA;3469;71;32635719;;;;;ADM@ZANAN.COM.BR;;
50606046;0001;27;1;AMAZONAS CONSTRUCOES E EMPREENDIMENTOS;02;20230509;00;;105;2023-05-09;4120400;4399101;RUA;ERICO VERISSIMO;01;;MANDACARU;44640000;BA;3827;75;82797111;;;;;AMAZONIACONSTRUCAO881@GMAIL.COM;;
15742639;0002;09;2;EURO POCOS;02;20230510;00;;;2023-05-10;4120400;4321500,4330499,4391600,4399105,7732201,8121400;RUA;31 DE MARCO;138;SALA  108;FLORAIS LEA;47855352;BA;1112;62;96208858;;;;;EUROPOCOSARTESIANOS@GMAIL.COM;;
50671918;0001;30;1;GONCALVES CONSTRUCAO E INCORPORACAO;02;20230515;00;;;2023-05-15;4120400;4110700,4213800,4313400,4399103;TRAVESSA;CAMPO GRANDE;117;      A;PARQUE IPE;44054155;BA;3515;75;91458078;;;;;VALDINEYGONCALVES05@HOTMAIL.COM;;
50694086;0001;78;1;EDIFICAR EMPREENDIMENTOS IMOBILIARIOS;02;20230516;00;;;2023-05-16;4110700;4120400,4330499,6810202;RUA;JORGE AMADO;20;;RESIDENCIAL ALAMAR;45820501;BA;3117;73;88326834;73;32813513;73;32813513;WAGNERCONTADOR3513@YAHOO.COM.BR;;
50763764;0001;07;1;CASTELO BRANCO ENGENHARIA;02;20230522;00;;;2023-05-22;4120400;4299599,4399101,7112000,7119703;AVENIDA;TANCREDO NEVES;000620;      EDIF MUNDO PLAZA          OUTROS TORRE              EMPRESAR SALA 1524;CAMINHO DAS ARVORES;41820020;BA;3849;71;99442422;;;;;CASTELOBRANCOENGENHARIA@HOTMAIL.COM;;
50807526;0001;56;1;BASE EMPREENDIMENTOS;02;20230524;00;;;2023-05-24;4120400;4110700,6810201;AVENIDA;JORGE TEIXEIRA;68;SALA  406                 EDIF  CENTRO EMP PREMIER;CANDEIAS;45028050;BA;3965;77;91226217;;;;;NANDAMORENO1@HOTMAIL.COM;;
50853355;0001;00;1;CEDRO ENGENHARIA;02;20230529;00;;105;2023-05-29;4120400;4399101,7410202,7112000,4213800,4222701,4313400,4321500,4322301,4330404;RUA;ITAGI;599;EDIF  MED.TRADE  MEDICAL  SALA  515;PITANGUEIRAS;42701370;BA;3685;71;91956766;;;;;ENGDANILOSIMOES@GMAIL.COM;;
50926178;0001;36;1;;02;20230602;00;;105;2023-06-02;4120400;4211101,4213800,4311801,4312600,4313400,4330499,4391600,4399103,4399199;PRACA;SANTO AMARO DE IPITANGA;181;SALA  101;CENTRO;42703530;BA;3685;71;86267472;0000;00000000;;;MC.SF@HOTMAIL.COM.BR;;
50956660;0001;19;1;;02;20230606;00;;;2023-06-06;4120400;7111100,8219999;AVENIDA;BEIRA MAR;45;TERREO;CENTRO;45445000;BA;3415;71;84625775;;;;;LUISCOSTA@ESCRITORIODELUIS.COM.BR;;
50983354;0001;71;1;CONSORCIO SAO FRANCISCO;02;20230607;00;;;2023-06-07;4120400;;RUA;TORQUATO BAHIA;04;EDIF  RAIMUNDO MAGALHAES  SALA  1105                ANDAR 11;COMERCIO;40015110;BA;3849;71;32447467;;;;;LIGA@LIGAENGENHARIA.COM;;
51009906;0001;08;1;BROTAS PRIME INCORPORACAO IMOBILIARIA;02;20230612;00;;;2023-06-12;4110700;6810201;RUA;DOS COLIBRIS;000079;EDIF  PARALELA PLACE      SALA  705;IMBUI;41720060;BA;3849;71;87873231;;;;;ALEXANDREBALI@HOTMAIL.COM;;
31749522;0016;09;2;SENSIA PATAMARES;02;20230606;00;;;2023-06-06;4110700;;RUA;GERALDO DEL REY;SN;LOTE  005B;PIATA;41650635;BA;3849;31;36158182;;;;;GESTAO.TIBUTARIA@MRV.COM.BR;;
51083272;0001;33;1;MATA VERDE EMPREENDIMENTOS;02;20230616;00;;;2023-06-16;4110700;4120400,4313400,6810201,6810203,7490104;AVENIDA;PRESIDENTE GETULIO VARGAS;2445 B;;BELA VISTA;45990289;BA;3993;73;32920799;;;;;CONTATO@MATAVERDERANCHVILLE.COM;;
02207503;0016;44;2;CONDOMINIO RESIDENCIAL VILA PARK;02;20230530;00;;;2023-05-30;4110700;;RUA;L (H PRATES);75;      LT HENRIQUETA PRATES;SAO PEDRO;45070275;BA;3965;77;34259800;;;;;E2ENGENHARIA@E2ENG.COM.BR;;
51199894;0001;21;1;;02;20230627;00;;;2023-06-27;4120400;4110700;RUA;PINHEIRO MACHADO;120;;CAPUCHINHOS;44076030;BA;3515;75;30210794;;;;;ADMLIDER@PEDRACONSTRUTORA.COM.BR;;
51209916;0001;97;1;;02;20230627;00;;;2023-06-27;4120400;;RUA;JOVELINO RODRIGUES VIEIRA;88;;TRANCOSO;45818000;BA;3807;48;30360772;;;;;CONTATO@SEAZONE.COM.BR;;
51293729;0001;34;1;S3 SOLUCOES;02;20230704;00;;;2023-07-04;4120400;1813001,3811400,3812200,4211101,4211102,4213800,4221901,4222701,4292801,4299501,4299599,4311802,4313400,4319300,4321500,4322301,4330404,4399101,4399102,4520001,4530703,4530704,4712100,4742300,4751201,4753900,4754701,4923002,4924800,4929901,5229099,5620102,7112000,7119701,7119703,7711000,7719502,7719599,7732201,7733100,7739003,7820500,7830200,7911200,8020001,8121400,8122200,8130300,8230001,9001906,9001999,9601701;TRAVESSA;LIDIO BARROS;36;;SAO FRANCISCO;45220000;BA;3311;73;82319999;;;;;S3.SOLUCOES@YAHOO.COM;;
51356554;0001;67;1;;02;20230710;00;;;2023-07-10;4110700;4120400,6810201;AVENIDA;SANTOS DUMONT;6072;LOJA  01;PITANGUEIRAS;42701260;BA;3685;31;34315400;;;;;EMPRESARIAL@DIRECIONAL.COM.BR;;
29046618;0002;55;2;;02;20230719;00;;;2023-07-19;4120400;4213800,4330404,4399103,4744099,7112000;RUA;JOAO DA SILVA COSTA;106;      B;OLHOS DAGUA - SEDE;46115212;BA;3391;77;34414559;;;;;MONZANY_BELA@HOTMAIL.COM;;
51491070;0001;20;1;;02;20230720;00;;;2023-07-20;4120400;;CAMINHO;SETE;08;;NOSSA SENHORA DAS GRACAS;44444468;BA;3873;75;36316986;;;;;CONASICT@HOTMAIL.COM;;
51506212;0001;86;1;VA EMPREENDIMENTOS;02;20230721;00;;;2023-07-21;4110700;6810201,6810203,6822600;RUA;AFONSO COSTA;109;;CENTRO;44700000;BA;3651;74;88074781;;;;;GILDOJUNIOR.ADV@GMAIL.COM;;
51621440;0001;05;1;GUSMAO ENGENHARIA;02;20230731;00;;;2023-07-31;4120400;4211102,4213800,4221903,4292801,4299501,4299599,4311801,4311802,4313400,4321500,4322301,4329104,4330499,4391600,4399101,4399102,4399103,7020400,7112000,7732201,8121400,8129000,8130300,8211300,9603301;RUA;JOSE PEQUENO;99;      A;JUREMA;45023190;BA;3965;77;81184856;;;;;SETORFISCAL@ACOPLANCONTABILIADE.COM.BR;;
51737143;0001;11;1;ZN 5;02;20230808;00;;;2023-08-08;4110700;6810201;RUA;JOAO HIPOLITO DE AZEVEDO;18;;CENTRO;44245000;BA;3469;71;32635719;;;;;ADM@ZANAN.COM.BR;;
51752629;0001;29;1;SAO CARLOS EMPREENDIMENTOS;02;20230809;00;;;2023-08-09;4120400;4213800,4221901,4222701,4222702,4313400,4321500,4399105,7711000,7732201,7732202,7739003,7739099,8130300;AVENIDA;SANTA TEREZA;151;SALA;CENTRO;48400000;BA;3833;75;32761476;;;;;METACONTABILIDADETRIBUTARIA@HOTMAIL.COM;;
51843318;0001;75;1;CONSTRUTORA EUS E FIEL;02;20230817;00;;;2023-08-17;4120400;0161003,1811301,1811302,1813001,1822901,3329501,4212000,4213800,4292801,4292802,4299501,4311802,4313400,4321500,4322301,4322302,4322303,4329101,4329104,4330402,4330403,4330404,4330405,4330499,4391600,4399101,4399102,4399199,4761001,4781400,4921301,4923002,4924800,4929901,7020400,7112000,7119701,7119702,7119703,7119704,7119799,7311400,7312200,7319004,7711000,7732201,7732202,7739003,7739099,8121400,8130300,8211300,8219901,8219999,8230001,8599604,8660700,9001902,9001906,9001999,9319101,9529105;RUA;ENGENHEIRO ANTONIO BORGES;141;;CENTRO;44430144;BA;3873;75;88734034;;;;;JAILTONPEU@GMAIL.COM;;
51844382;0001;70;1;AGUIMARAES CONSTRUTORA;02;20230817;00;;105;2023-08-17;4110700;4120400,6810201;AVENIDA;FREI BENJAMIM;2327;SALA  103;BRASIL;45051075;BA;3965;77;88048548;0000;00000000;;;TALY2586@GMAIL.COM;;
51865428;0001;38;1;HSI CONSTRUTORA E INCORPORADORA;02;20230818;00;;;2023-08-18;4120400;4110700;RUA;DO TELEGRAFO;1611;COND  RESIDENCIAL MIRO          AP 05;ITAPERAPUAN - SEDE;45810000;BA;3807;71;96987523;;;;;HYRAN_OLIVER@HOTMAIL.COM;;
51890115;0001;30;1;M J CONSTRUCOES;02;20230821;00;;;2023-08-21;4110700;4120400;TRAVESSA;ALVARO AUGUSTO;S/N;;GINASIO - 01;48700000;BA;3909;75;99695036;;;;;BELLOORT@YAHOO.COM.BR;;
51904938;0001;77;1;;02;20230822;00;;;2023-08-22;4120400;0161003,0810099,2330301,2391501,2391502,3600602,3811400,4211101,4212000,4213800,4221901,4221902,4221903,4222701,4222702,4223500,4292802,4299501,4311801,4312600,4313400,4321500,4329104,4329105,4330401,4330402,4330403,4330499,4391600,4399101,4399103,4399105,4399199,4924800,4929901,7111100,7112000,7119703,7711000,7731400,7732201,7739003,7739099,8121400,8122200,8129000,8130300;RUA;DAS PALMEIRAS;57;;CENTRO;47220000;BA;3417;87;81471993;;;;;SERVICON.CAL@TERRA.COM.BR;;
51912550;0001;18;1;RESERVA APOEMA;02;20230822;00;;;2023-08-22;4110700;6810201,6822600;AVENIDA;SETE DE SETEMBRO;2872;SALA  01;BARRA;40130001;BA;3849;71;30350119;;;;;FINANCEIRO@SLTCONTABILIDADE.COM.BR;;
52003842;0001;09;1;CONSTRUTORA IRMAOS;02;20230830;00;;105;2023-08-30;4120400;;RUA;REGINALDO RIBEIRO;711;CASA  TERREO;GINASIO - 01;48700000;BA;3909;71;99182125;0000;00000000;;;JOFRANE1960@GMAIL.COM;;
52020744;0001;71;1;RESERVA AREMBEPE;02;20230831;00;;;2023-08-31;4110700;4120400;AVENIDA;DA FRANCA;164;EDIF  FUTURUS             SALA  103;COMERCIO;40010000;BA;3849;71;99450808;;;;;GRUPOQ5@HOTMAIL.COM;;
52026326;0001;91;1;GC EMPREENDIMENTOS;02;20230831;00;;;2023-08-31;4110700;4120400,4213800,4313400,6810201;RUA;MANOEL VITORINO;147;SALA  5;CENTRO;46430000;BA;3533;77;34210619;;;;;GBICONTROLE@GMAIL.COM;;
52028445;0001;83;1;;02;20230831;00;;;2023-08-31;4120400;4110700;RUA;CORONEL ALMERINDO REHEM;000126;EDIF  EMP COSTA ANDR      SALA  709;CAMINHO DAS ARVORES;41820768;BA;3849;71;33417001;71;32884379;;;RAFAEL@AZINUNES.COM.BR;;
52065972;0001;68;1;SOL NASCENTE CONSTRUTORA EIRELLI;02;20230904;00;;105;2023-09-04;4120400;2511000,4213800,4299501,4299599,4313400,4321500,4330401,4391600,4399103,4399199,7112000,7119703,7810800;RUA;DAS FLORES;111;;SOL NASCENTE;44840000;BA;3925;74;81519825;0000;00000000;;;LUCIANO.LORRANA@YAHOO.COM.BR;;
52074942;0001;18;1;SJ EMPREENDIMENTOS;02;20230905;00;;;2023-09-05;4120400;2330301,2542000,3701100,3702900,3811400,3812200,3821100,4110700,4211101,4211102,4212000,4213800,4221901,4221902,4221903,4222701,4222702,4223500,4291000,4292801,4299501,4311801,4311802,4313400,4321500,4322301,4329101,4330401,4330404,4330499,4391600,4399105,4929901,4930201,4930202,4930203,7112000,7732201,7732202,8121400,8130300;RUA;SAO SEBASTIAO;102;SALA  001;ONHA;44575000;BA;3745;71;99757179;;;;;INTELCONT@HOTMAIL.COM;;
47431802;0002;09;2;MANSAO DOS MARES;02;20230803;00;;;2023-08-03;4110700;;AVENIDA;TANCREDO NEVES;S/N;QUADRA15                  LOTE  107                       LOT. MAR DE ILHEUS;OLIVENCA;45660500;BA;3573;73;88034619;;;;;OF.ENGENHARIA@GMAIL.COM;;
52110447;0001;17;1;INOVAR;02;20230908;00;;;2023-09-08;4120400;2330301,2330302,2511000,2542000,2599301,3299004,4299501,4313400,4330402,4744001,4930202,7731400;RUA;UCRANIA;189;;JARDINS;47803124;BA;3363;77;98118010;;;;;INOVARSERVICOECONSTRUCAO@GMAIL.COM;;
52179828;0001;52;1;;02;20230914;00;;;2023-09-14;4120400;7112000;RUA;ARACAJU;000034;SLJ   SL;BARRA;40140360;BA;3849;71;88279659;;;;;BRUNOFERNANDEZ360@GMAIL.COM;;
52183437;0001;01;1;CONSTRUSOUZA;02;20230914;00;;;2023-09-14;4120400;1813001,2511000,3101200,3321000,3329501,3530100,4292801,4292802,4299599,4311802,4313400,4322301,4330402,4330403,4330404,4330405,4330499,4391600,4399103,4744099,7111100,7112000,7119703,7119799,7311400,7319002,7319003,7731400,7732201,8121400;RUA;JOSE MEIRA LEITE;403;;ALTO DO ESCALAVRADO - SEDE;46115296;BA;3391;77;98453257;;;;;JOAQUIM_BDO@HOTMAIL.COM;;
52260794;0001;26;1;CONSTRUTORA A.J.A;02;20230920;00;;;2023-09-20;4120400;4311802,4321500,4322301,4330401,4330402,4330403,4330404,4330405,4330499,4391600,4399102,4399103,6810201,7732201,7732202,8130300,8211300;RUA;CARLOS AUGUSTO OLIVEIRA DE PAULA;S/N;QUADRA24                  LOTE  16;OUTEIRO DA GLORIA - SEDE;45810000;BA;3807;73;81205847;;;;;AJACONSTRUTORALTDA@GMAIL.COM;;
52299139;0001;81;1;FG4;02;20230925;00;;;2023-09-25;4110700;6810201,6810202,7020400,7490104;AVENIDA;ANITA GARIBALDI;001211;SALA  901;ONDINA;40170130;BA;3849;71;31727373;;;;;RELACIONAMENTO@BLUEBAYSA.COM.BR;;
52385160;0001;08;1;PL EMPREENDIMENTOS;02;20231002;00;;;2023-10-02;4120400;4213800,4299501,4313400,4330403,4330404,4330405,4391600,4399101;AVENIDA;TIRADENTES;117;;CENTRO;46430000;BA;3533;77;91049333;;;;;PLFAGUNDESEMP@GMAIL.COM;;
52432676;0001;58;1;CRM CONSTRUTORA;02;20231005;00;;;2023-10-05;4120400;4213800,4299599,4321500,4322301,4399199,6810201,8121400;AVENIDA;CORONEL TIBERIO MEIRA;291;ANDAR 1;CENTRO;46100137;BA;3391;77;98751995;;;;;PROGESSOCONTABILIDADE01@GMAIL.COM;;
52471260;0001;49;1;CASA MODERNA - CONSTRUIR;02;20231009;00;;;2023-10-09;4120400;4213800,4299501,4313400;RUA;JURACI MAGALHAES;264;;CENTRO;45157000;BA;3433;77;88587369;;;;;CASAMODERNACONSTRUIR@GMAIL.COM;;
52484392;0001;05;1;;02;20231010;00;;;2023-10-10;4120400;8211300,8299799;AVENIDA;GETULIO VARGAS;159;SALA  204 2ANDAR;CENTRO;44001192;BA;3515;75;91137481;;;;;ALMEIDAEMARTINS.CONSULTORIA@GMAIL.COM;;
52511525;0001;95;1;;02;20231011;00;;;2023-10-11;4110700;4120400,6810201,6810202;AVENIDA;TANCREDO NEVES;000620;      EDIF MUNDO PLAZA          SALA 503 OUTROS 5         ANDAR;CAMINHO DAS ARVORES;41820020;BA;3849;71;30168900;;;;;CONTABILIDADE@CSCMASTER.COM;;
52512184;0001;72;1;SMART VISCONDE;02;20231011;00;;;2023-10-11;4120400;4110700;AVENIDA;ALMIRANTE MARQUES DE LEAO;000318;SALA  204;BARRA;40140230;BA;3849;71;30119010;71;30119210;;;FINANCEIRO1@SMARTEMPREENDIMENTO.COM.BR;;
52567226;0001;72;1;IGATU CONSTRUTORA;02;20231018;00;;;2023-10-18;4120400;4311801,7711000,7732201,7739099;RUA;ANISIO ALVES PAIM;49;;CENTRO;44230000;BA;3321;75;82849342;;;;;JORGE.MEIRELES@HOTMAIL.COM;;
52651370;0001;92;1;JARDIM DE ALAH;02;20231024;00;;;2023-10-24;4110700;4120400,6810201,7112000;RUA;PROFESSOR FERNANDO ROCHA;291;CASA  CS;NARANDIBA;41192009;BA;3849;71;31723000;;;;;CONCRETA@CONCRETA.COM.BR;;
52662594;0001;08;1;CONSTRUTORA ROCHA;02;20231025;00;;;2023-10-25;4120400;;3A TRAVESSA;EVERALDO SANTOS;46;;POMPILIO SAMPAIO;45206061;BA;3661;73;30465854;;;;;GEOVANION@HOTMAIL.COM;;
52682280;0001;69;1;WLISSES CONSTRUTORA;02;20231026;00;;;2023-10-26;4120400;7732201;AVENIDA;VALDETE CARNEIRO;S/N;;VAQUEJADA - 01;48700000;BA;3909;75;98180090;;;;;MORAESWLISSES@GMAIL.COM;;
52818498;0001;06;1;CONSTRUTORA PETROS;02;20231108;00;;105;2023-11-08;4120400;4110700,4222701,4299501,4322301,4330403,4330404,4399101,6810203,7711000,7731400,7732201,4321500;QUADRA;AB;24-A;;TOPOL;47300000;BA;3443;74;99155754;0000;00000000;;;JACIRAROSES@HOTMAIL.COM;;
52843143;0001;69;1;ASF CONSTRUCOES;02;20231109;00;;;2023-11-09;4120400;4311801,4311802,4399103,6810201,8130300;PRACA;BENJAMIN COSTA;45;      SALA 03;CENTRO;44245000;BA;3469;75;91100510;;;;;KLEBER_BERIMBAU@HOTMAIL.COM;;
52857551;0001;70;1;FORMA PRONTA;02;20231110;00;;;2023-11-10;4120400;;AVENIDA;ENGENHEIRO OSCAR PONTES;000036;EDIF  SERRAVALLE          SALA  414;CALCADA;40411220;BA;3849;71;88333819;;;71;88333819;SETORPROCURADORIA@CONTABILIDADESTATUS.COM.BR;;
52884647;0001;27;1;URBANIZADORA OURO VERDE;02;20231114;00;;;2023-11-14;4110700;4120400,4399101;AVENIDA;I LOT. OURO VERDE;S/N;QUADRAK                   LOTE  01                        QUADRA DE ESPORTE;TIMBO;48370000;BA;3511;79;99546020;;;;;CONSULTORIALM.CONTABIL@GMAIL.COM;;
52891339;0001;29;1;;02;20231114;00;;;2023-11-14;4120400;7112000;ALAMEDA;SALVADOR;1057;COND  SALVADOR SHOPPING         BUSINESS            SALA  1516                      TORRE AMERICA;CAMINHO DAS ARVORES;41820790;BA;3849;71;33419604;;;;;LICITACAO@METROEC.COM.BR;;
52952290;0001;77;1;BOULEVARD DOS IPES 1 ETAPA;02;20231121;00;;;2023-11-21;4110700;4399101,6810201,7112000;PRACA;7 DE SETEMBRO;174;SALA  1;MONTE CASTELO;45990117;BA;3993;27;81318873;;;;;CONTATO@TORREFORTECONSTRUTORA.COM;;
52981342;0001;33;1;ED CONSTRUTORA;02;20231123;00;;;2023-11-23;4120400;4211101,4213800,4222701,4299501,4313400,4330404;RUA;DO CAJUEIRO;126;CXPST                     CASA;CENTRO;45810000;BA;3807;73;99202349;;;;;FABILIOFERNANDES08@GMAIL.COM;;
53036262;0001;72;1;;02;20231128;00;;;2023-11-28;4120400;4321500,4322301,4322302,4330404,4330499,4399103,8121400,9102302;AVENIDA;LUIS VIANA FILHO;013223;EDIF  HANGAR 5            SALA  611;SAO CRISTOVAO;41500300;BA;3849;71;99555562;;;;;B.BCONS@TERRA.COM.BR;;
53047788;0001;58;1;MM CONSTRUCOES & ENGENHARIA;02;20231129;00;;;2023-11-29;4120400;0161099,2330301,2330302,2511000,2539001,2599301,3101200,3102100,3292202,3299003,3311200,3313999,3314710,3321000,3600602,3701100,3702900,3811400,3812200,3821100,4212000,4213800,4221902,4222701,4222702,4292801,4299501,4311801,4311802,4313400,4319300,4321500,4322301,4322302,4322303,4330402,4330403,4330404,4330405,4391600,4399101,4399103,4921301,4923002,4924800,4929901,4930201,7020400,7111100,7112000,7119701,7119703,7119704,7220700,7311400,7320300,7410202,7490105,7711000,7719599,7731400,7732201,7732202,8121400,8219999;RUA;LEOPOLDINO RAMOS;210;CASA;CENTRO;48730000;BA;3467;75;81869663;;;;;ATENDIMENTO.MMENG@GMAIL.COM;;
53051719;0001;18;1;LETRA K EMPREENDIMENTOS;02;20231129;00;;;2023-11-29;4110700;4120400,6810201;RUA;FRANCISCO DA COSTA BARROS;252;;SERRA DO MIMO;47802514;BA;3363;77;36113611;77;98580304;77;36113611;MULTI_CONTABIL@HOTMAIL.COM;;
53115393;0001;45;1;SAO MATEUS INCORPORADORA;02;20231206;00;;;2023-12-06;4110700;;RUA;BENJAMIN CONSTANT;96;;CENTRO;45700000;BA;3629;77;98647741;;;;;AGROPECUARIACONESUL@HOTMAIL.COM;;
53130810;0001;29;1;PR CONSTRUTORA;02;20231207;00;;;2023-12-07;4110700;4120400;RUA;OITO VL SERRANA II;32;;ZABELE;45078128;BA;3965;77;88056582;;;;;K.PAULLO@HOTMAIL.COM;;
53202967;0001;12;1;MALI BEACH ITACIMIRIM;02;20231214;00;;;2023-12-14;4110700;6810201;ALAMEDA;SALVADOR;001057;EDIF  SALVADOR SHOPP      SALA  1602 EUROPA;CAMINHO DAS ARVORES;41820790;BA;3849;71;91299161;;;;;LUCAS_VIANA@HOTMAIL.COM;;
53208136;0001;58;1;;02;20231215;00;;;2023-12-15;4110700;;ALAMEDA;PADUA;000045;EDIF  EMPRESARIAL ATLANTA SALA  403;PITUBA;41830480;BA;3849;71;93024442;71;81040627;;;FINANCEIRO@LNJENGENHARIA.COM.BR;;
53211709;0001;00;1;TAMBURI TERRAVISTA;02;20231215;00;;;2023-12-15;4110700;6810201;RUA;ALCEU AMOROSO LIMA;000470;EDIF  EMPRESARIAL NIEMEYERSALA  713;CAMINHO DAS ARVORES;41820770;BA;3849;71;91148967;;;71;91579301;CONTATO@NSAMAIS.COM.BR;;
53216293;0001;05;1;CINCO PILARES CONSTRUTORA;02;20231215;00;;;2023-12-15;4110700;;RUA;J J SEABRA;60;ANDAR 2                   SALA  201;CENTRO;44380000;BA;3495;75;88310174;;;;;CONT-AGIL@BOL.COM.BR;;
53285141;0001;64;1;VISTA EMPREENDIMENTOS;02;20231221;00;;;2023-12-21;4110700;6810201,6810202,6810203,6822600;AVENIDA;MESSIAS PEREIRA DONATO;163;ANDAR 1                   SALA  108A EV01;AEROPORTO VELHO;46430000;BA;3533;77;34514586;;;;;ADMINISTRATIVO@DONCONTABILIDADE.COM.BR;;
